keys,de,en,tr
DECO_BUEROSTUHL,Bürostuhl,Office chair,Ofis sandalyesi
DECO_BUEROSTUHL_INFO,Gepolsterter Drehstuhl mit Armlehnen.,Padded swivel chair with armrests.,Kolçaklı döner sandalye.
DECO_TOPFPFLANZE,Gummibaum,Rubber plant,Kauçuk ağacı
DECO_TOPFPFLANZE_INFO,Grün im Terrakottatopf.,Greenery in a terracotta pot.,Toprak saksıda yeşillik.
DECO_WANDUHR,Wanduhr,Wall clock,Duvar saati
DECO_WANDUHR_INFO,Pendeluhr aus dunklem Holz — rastet an der Wand ein.,Dark wood pendulum clock — snaps to the wall.,Koyu ahşap sarkaçlı saat — duvara oturur.
DECO_PLAKAT,Wiesn-Plakat,Fair poster,Fuar posteri
DECO_PLAKAT_INFO,Gerahmtes Plakat mit Zelt und Riesenrad.,Framed poster with tent and Ferris wheel.,Çadır ve dönme dolaplı çerçeveli poster.
DECO_BUEROLEUCHTE,Kranzleuchte,Ring chandelier,Halka avize
DECO_BUEROLEUCHTE_INFO,Holzkranz mit vier Glaskugeln — hängt unter dem Dach.,Wooden ring with four glass globes — hangs from the roof.,Dört cam küreli ahşap halka — çatıdan asılır.
DECO_TEPPICH,Teppich,Rug,Halı
DECO_TEPPICH_INFO,Roter Teppich mit Rautenmuster.,Red rug with diamond pattern.,Baklava desenli kırmızı halı.
DECO_WARTEBANK,Holzbank,Wooden bench,Ahşap bank
DECO_WARTEBANK_INFO,Bank mit Lehne zum Verschnaufen.,Bench with backrest for a breather.,Soluklanmak için arkalıklı bank.
DECO_GARDEROBE,Garderobe,Coat stand,Portmanto
DECO_GARDEROBE_INFO,Mit Hut und Janker — wie beim Wiesnchef.,With hat and jacket — just like the fair manager's.,Şapka ve ceketle — fuar müdürününki gibi.
DECO_KAFFEEECKE,Kaffeeecke,Coffee corner,Kahve köşesi
DECO_KAFFEEECKE_INFO,Anrichte mit Kaffeemaschine und Tassen.,Sideboard with coffee machine and cups.,Kahve makinesi ve fincanlarla büfe.
TEAM_TITEL,Dein Team (%d),Your team (%d),Ekibin (%d)
TEAM_INFO,%s · Stufe %d · seit Tag %d · %s pro Tag,%s · level %d · since day %d · %s per day,%s · seviye %d · %d. günden beri · günlük %s
TEAM_UNZUFRIEDEN,unzufrieden (arbeitet langsamer),unhappy (works slower),memnun değil (daha yavaş çalışıyor)
TEAM_LOHN,Lohn erhöhen,Raise wage,Maaşı artır
TEAM_HALTEN,Halten (mehr Lohn),Keep (higher wage),Tut (daha fazla maaş)
TEAM_ENTLASSEN,Entlassen,Dismiss,İşten çıkar
TEAM_ANLIEGEN_LOHN,"Möchte mehr Lohn (+15 %). Ignoriert: erst unzufrieden, dann Kündigung.","Wants a raise (+15 %). Ignored: first unhappy, then quits.","Zam istiyor (+%15). Görmezden gelinirse: önce memnuniyetsiz, sonra istifa."
TEAM_ANLIEGEN_HUBER,"Huber will abwerben! Nur mit mehr Lohn (+20 %) bleibt er — sonst ist er morgen weg.","Huber wants to poach them! They only stay for a higher wage (+20 %) — otherwise gone tomorrow.","Huber ayartmak istiyor! Sadece daha yüksek maaşla (+%20) kalır — yoksa yarın gider."
MSG_PERSONAL_LOHNWUNSCH,%s möchte mehr Lohn (+%s pro Tag) — Wiesenbüro · Personal,%s wants a raise (+%s per day) — fair office · staff,%s zam istiyor (günlük +%s) — fuar ofisi · personel
MSG_PERSONAL_UNZUFRIEDEN,%s ist unzufrieden und arbeitet langsamer. Morgen kündigt sie/er!,%s is unhappy and works slower. Will quit tomorrow!,%s memnun değil ve daha yavaş çalışıyor. Yarın istifa edecek!
MSG_PERSONAL_KUENDIGT,%s hat gekündigt.,%s has quit.,%s istifa etti.
MSG_PERSONAL_HUBER,Huber will %s abwerben! Halten kostet +%s pro Tag — Wiesenbüro · Personal,Huber wants to poach %s! Keeping them costs +%s per day — fair office · staff,Huber %s'yi ayartmak istiyor! Tutmak günlük +%s — fuar ofisi · personel
MSG_PERSONAL_ABGEWORBEN,%s (%s) ist zu Huber gewechselt.,%s (%s) has switched to Huber.,%s (%s) Huber'e geçti.
MSG_PERSONAL_ZUFRIEDEN,%s ist zufrieden und bleibt.,%s is happy and stays.,%s memnun ve kalıyor.
MSG_PERSONAL_ENTLASSEN,%s wurde entlassen.,%s has been dismissed.,%s işten çıkarıldı.
CHEF_ENDE_3_DU,"Ein Tipp noch: Im Wiesn-Kalender (Taste K) siehst du, was dich erwartet — Sondertage, Bankraten und wann der Huber zum Duell ruft.","One more tip: the fair calendar (K key) shows what lies ahead — special days, bank instalments and when Huber calls for the duel.","Bir ipucu daha: Fuar takviminde (K tuşu) seni neyin beklediğini görürsün — özel günler, banka taksitleri ve Huber'in düelloya ne zaman çağıracağı."
CHEF_ENDE_3_IHR,"Ein Tipp noch: Im Wiesn-Kalender (Taste K) seht ihr, was euch erwartet — Sondertage, Bankraten und wann der Huber zum Duell ruft.","One more tip: the fair calendar (K key) shows what lies ahead — special days, bank instalments and when Huber calls for the duel.","Bir ipucu daha: Fuar takviminde (K tuşu) sizi neyin beklediğini görürsünüz — özel günler, banka taksitleri ve Huber'in düelloya ne zaman çağıracağı."
MSG_EHRE_BEDIENT,Bester Kellner heute: %s (%d Gäste bedient),Best waiter today: %s (%d guests served),Bugünün en iyi garsonu: %s (%d misafir)
MSG_EHRE_GEZAPFT,Schnellster Zapfer heute: %s (%d Maß gezapft),Fastest tapster today: %s (%d steins poured),Bugünün en hızlı fıçıcısı: %s (%d kupa)
MSG_EHRE_GEPUTZT,Putzteufel des Tages: %s (%d Flecken weg),Cleaning champion of the day: %s (%d messes gone),Günün temizlik şampiyonu: %s (%d leke)
ZEITUNG_M_EHRE,Auszeichnung: %s,Award: %s,Ödül: %s
MSG_SABOTEUR_DA,Da schleicht jemand Fremdes ins Zelt … ob das einer vom Huber ist?,A stranger is sneaking into the tent … one of Huber's men?,Çadıra bir yabancı sızıyor … Huber'in adamı mı?
MSG_SABOTEUR_ERWISCHT,Saboteur erwischt! Huber ist blamiert — die Gäste spendieren %s,Saboteur caught! Huber is embarrassed — the guests chip in %s,Sabotajcı yakalandı! Huber rezil oldu — misafirler %s bahşiş veriyor
HINT_SABOTEUR,{interact} Erwischt! Saboteur rauswerfen,{interact} Gotcha! Throw the saboteur out,{interact} Yakaladım! Sabotajcıyı dışarı at
STAMM_NAME_ALOIS,Opa Alois,Grandpa Alois,Alois Dede
STAMM_NAME_VRONI,Vroni vom Trachtenverein,Vroni from the costume club,Kıyafet kulübünden Vroni
STAMM_NAME_KATHI,Kathi (Influencerin),Kathi (influencer),Kathi (fenomen)
STAMM_NAME_FRANZ,Franz der Metzger,Franz the butcher,Kasap Franz
STAMM_NAME_GIULIA,Giulia aus Verona,Giulia from Verona,Veronalı Giulia
STAMM_NAME_WIGGERL,"Wiggerl, Sepps alter Spezl","Wiggerl, Sepp's old pal","Wiggerl, Sepp'in eski kankası"
MSG_STAMM_ALOIS_DA,Opa Alois ist da — wie jedes Jahr will er sein Helles. Schnell sein!,Grandpa Alois is here — like every year he wants his Helles. Be quick!,Alois Dede geldi — her yıl olduğu gibi Helles'ini istiyor. Çabuk ol!
MSG_STAMM_VRONI_DA,Vroni vom Trachtenverein schaut vorbei — sie entscheidet, wo der Verein feiert.,Vroni from the costume club drops by — she decides where the club celebrates.,Kıyafet kulübünden Vroni uğradı — kulübün nerede kutlayacağına o karar veriyor.
MSG_STAMM_KATHI_DA,Influencerin Kathi ist im Zelt! Wenn's ihr gefällt, postet sie euch.,Influencer Kathi is in the tent! If she likes it she'll post about you.,Fenomen Kathi çadırda! Beğenirse sizi paylaşacak.
MSG_STAMM_FRANZ_DA,Franz der Metzger ist da — er testet, ob euer Essen was taugt.,Franz the butcher is here — he'll test whether your food is any good.,Kasap Franz geldi — yemeğinizin iyi olup olmadığını test edecek.
MSG_STAMM_GIULIA_DA,Giulia aus Verona ist wieder da — sie liebt Radler.,Giulia from Verona is back — she loves Radler.,Veronalı Giulia yine geldi — Radler'e bayılıyor.
MSG_STAMM_WIGGERL_DA,"Wiggerl, Sepps alter Spezl, sitzt am Stammtisch. Er kannte Sepp 40 Jahre.","Wiggerl, Sepp's old pal, is at the regulars' table. He knew Sepp for 40 years.","Sepp'in eski kankası Wiggerl müdavim masasında. Sepp'i 40 yıl tanıdı."
MSG_STAMM_ZUFRIEDEN,%s ist zufrieden (%d/%d),%s is happy (%d/%d),%s memnun (%d/%d)
MSG_STAMM_VERAERGERT,%s musste zu lange warten — und ist verärgert.,%s had to wait too long — and is annoyed.,%s çok uzun bekledi — ve kızgın.
MSG_STAMM_BELOHNUNG_ALOIS,Opa Alois erzählt überall von eurem Zelt — die Alten kommen jetzt alle (+Beliebtheit).,Grandpa Alois tells everyone about your tent — the old folks all come now (+popularity).,Alois Dede çadırınızı herkese anlatıyor — yaşlılar artık hep geliyor (+popülerlik).
MSG_STAMM_BELOHNUNG_VRONI,Der Trachtenverein feiert ab jetzt bei euch! Vroni zahlt die Vereinskasse ein (+250 € und Beliebtheit).,The costume club celebrates with you from now on! Vroni pays in the club funds (+250 € and popularity).,Kıyafet kulübü artık sizde kutluyor! Vroni kulüp kasasını ödüyor (+250 € ve popülerlik).
MSG_STAMM_BELOHNUNG_KATHI,Kathis Video geht viral: „Das beste Zelt der Wiesn!“ (+viel Beliebtheit),Kathi's video goes viral: “Best tent at the fair!” (+lots of popularity),Kathi'nin videosu viral oldu: “Fuarın en iyi çadırı!” (+çok popülerlik)
MSG_STAMM_BELOHNUNG_FRANZ,Franz ist überzeugt und liefert euch 20 Portionen Zutaten gratis.,Franz is convinced and delivers 20 portions of ingredients for free.,Franz ikna oldu ve size 20 porsiyon malzemeyi bedava getiriyor.
MSG_STAMM_BELOHNUNG_GIULIA,Giulia bringt eine ganze Reisegruppe mit — Trinkgeld 400 €!,Giulia brings a whole tour group — 400 € in tips!,Giulia bütün bir tur grubunu getiriyor — 400 € bahşiş!
MSG_STAMM_BELOHNUNG_WIGGERL,"Wiggerl: „Der Sepp wär stolz auf euch.“ Er legt 300 € auf den Tresen — „die hat er mir mal geliehen.“","Wiggerl: “Sepp would be proud of you.” He puts 300 € on the bar — “he lent me that once.”","Wiggerl: “Sepp sizinle gurur duyardı.” Tezgaha 300 € bırakıyor — “bunu bir zamanlar bana ödünç vermişti.”"
